Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Car_Age,Price_per_km
20,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,190.0,5.0,47.87,18.55,False,False,False,10,0.0005624279910254078
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248.0,88.5,5.0,11.48,8.25,False,False,True,9,0.00014893847487001732
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53,1984.0,177.01,5.0,11.48,23.5,False,True,False,9,0.0004197552915959632
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5,1197.0,80.0,5.0,11.48,1.87,False,True,True,14,4.082345493046914e-05
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598.0,103.6,5.0,11.48,2.85,False,True,False,14,8.636363636363636e-05
25,Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497.0,116.3,5.0,11.48,4.25,False,True,True,12,8.185670261941448e-05
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,First,16.48,1461.0,63.1,5.0,11.48,4.25,False,False,True,12,7.87037037037037e-05
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998.0,67.1,5.0,11.48,2.75,False,True,True,11,5.092592592592592e-05
28,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199.0,88.7,5.0,10.57,9.9,False,True,True,6,0.0002644937216136789
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494.0,102.0,7.0,11.48,4.0,False,False,True,17,1.5267175572519083e-05
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461.0,108.45,5.0,11.48,7.75,False,False,True,11,0.000125
31,Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798.0,138.1,5.0,11.48,6.75,False,True,True,12,7.704160246533128e-05
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696.0,184.0,7.0,11.48,12.5,False,False,False,11,0.00017361111111111112
33,Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698.0,179.5,5.0,11.48,11.5,False,False,False,14,0.00032857142857142856
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598.0,103.5,5.0,12.33,6.98,False,True,True,10,0.00012592231783658964
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061.0,64.0,5.0,11.48,1.85,False,True,True,15,2.2072158060513508e-05
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,11.12,8.63,False,False,True,6,0.0001723414877683475
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198.0,82.0,5.0,11.48,4.85,False,True,True,7,9.326923076923077e-05
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987.0,254.8,5.0,11.48,28.0,False,False,False,11,0.0003294117647058824
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199.0,73.9,5.0,11.48,5.0,False,False,True,11,8.064516129032258e-05
40,Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796.0,46.3,5.0,11.48,1.25,False,True,True,16,1.388888888888889e-05
41,Tata Nano LX SE,Kochi,2014,19698,First,25.4,624.0,37.5,4.0,11.48,1.53,False,True,True,10,7.767286018885166e-05
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198.0,77.0,6.0,11.48,5.58,False,False,True,7,0.00025325647891798664
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197.0,82.9,5.0,11.48,4.74,False,True,True,10,0.00013357003973285992
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999.0,149.92,5.0,23.64,8.85,False,True,False,10,0.00019083969465648855
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798.0,138.03,5.0,11.48,10.11,False,True,False,8,0.00019441933808965212
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991.0,112.2,5.0,11.48,4.25,False,False,True,16,7.326954572881649e-05
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,18.64,10.95,False,True,True,12,0.00015487101154107262
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120.0,71.0,5.0,11.48,3.85,False,False,True,10,5.133333333333333e-05
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498.0,105.0,6.0,11.48,5.5,False,False,True,12,7.255936675461742e-05
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968.0,174.33,5.0,11.48,21.43,False,False,False,9,0.0015701934349355217
51,Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248.0,74.0,5.0,11.48,4.25,False,False,True,10,8.173076923076923e-05
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248.0,75.0,5.0,11.48,3.3,False,False,True,10,6.226415094339622e-05
53,Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248.0,74.0,5.0,11.48,3.85,False,False,True,11,5.864432597105865e-05
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197.0,82.0,5.0,11.48,3.6,False,True,True,9,6.666666666666667e-05
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598.0,103.2,5.0,11.48,3.99,False,True,True,9,0.00010230769230769232
56,Renault KWID RXT,Kochi,2017,16542,First,25.17,799.0,53.3,5.0,11.48,3.3,False,True,True,7,0.0001994922016684802
57,Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197.0,78.9,5.0,11.48,2.07,False,True,True,14,6.46875e-05
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,9.49,1995.0,147.6,5.0,11.48,7.75,False,False,False,14,6.362263159623025e-05
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998.0,67.1,5.0,11.48,2.25,False,True,True,14,5.725190839694656e-05
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,19.34,16.5,False,False,True,7,0.00075
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399.0,68.0,5.0,11.48,2.75,False,False,True,14,3.8194444444444444e-05
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796.0,186.0,5.0,11.48,26.7,False,True,False,9,0.0004603448275862069
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148.0,170.0,5.0,11.48,10.0,False,False,True,13,0.00015384615384615385
64,Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396.0,69.0,5.0,11.48,2.5,False,False,True,8,1.404494382022472e-05
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968.0,140.0,5.0,11.48,13.5,False,False,False,12,0.00020559210526315788
66,Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497.0,78.0,5.0,11.48,1.85,False,True,False,17,2.9365079365079366e-05
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950.0,194.0,5.0,49.14,35.67,False,False,False,5,0.002320905719305095
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248.0,88.5,7.0,11.48,8.15,False,False,True,8,0.00012936507936507936
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,11.81,10.5,False,False,True,6,0.0008076923076923077
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806.0,500.0,5.0,11.48,14.5,False,True,False,16,0.00019863013698630136
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179.0,140.0,7.0,11.48,9.65,False,False,True,9,0.0001731593963645499
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197.0,78.9,5.0,11.48,3.48,False,True,False,12,7.702864225950684e-05
73,Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461.0,108.5,5.0,16.65,6.92,False,False,True,9,0.00012342596225876646
74,Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198.0,86.8,5.0,11.48,6.46,False,True,False,8,0.00017319034852546916
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968.0,187.74,5.0,11.48,29.5,False,False,False,10,0.0005267857142857143
77,Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998.0,132.0,8.0,11.48,4.5,False,True,True,18,1.956521739130435e-05
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494.0,102.0,7.0,11.48,11.75,False,False,True,12,0.00011298076923076923
80,Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248.0,74.0,5.0,11.48,3.75,False,False,True,12,3.943217665615142e-05
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193.0,88.7,5.0,6.67,4.5,False,True,True,7,6.428571428571429e-05
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198.0,86.7,5.0,11.48,4.82,False,True,True,8,8.77256843331392e-05
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399.0,68.0,5.0,11.48,2.8,False,False,True,12,3.980835122339594e-05
84,Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248.0,73.94,5.0,11.48,3.11,False,False,True,11,3.121299102751962e-05
85,Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497.0,117.3,5.0,11.48,3.25,False,True,True,15,6.25e-05
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995.0,218.0,5.0,11.48,13.9,False,False,False,13,0.00018533333333333333
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197.0,78.9,5.0,11.48,2.25,False,True,True,15,2.3442383829964577e-05
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197.0,82.0,5.0,11.48,5.75,False,True,True,8,0.000359375
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198.0,86.7,5.0,11.48,5.0,False,True,True,8,0.000263866167080057
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982.0,168.5,7.0,11.48,16.5,False,False,True,10,0.00015420560747663551
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968.0,174.33,5.0,11.48,39.58,False,False,False,6,0.0008183265449583393
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498.0,89.84,5.0,11.48,5.5,False,False,True,11,9.649122807017544e-05
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179.0,140.0,7.0,11.48,8.1,False,False,True,10,0.0001396551724137931
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498.0,98.6,5.0,11.48,3.5,False,False,True,9,0.00011666666666666667
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199.0,73.9,5.0,11.48,2.79,False,False,True,11,8.155033321641529e-05
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493.0,110.0,5.0,11.48,3.45,False,False,True,14,4.928430616268107e-05
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998.0,67.1,5.0,11.48,4.45,False,True,True,8,7.17741935483871e-05
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598.0,103.5,5.0,11.48,2.65,False,True,True,14,4.2741246108933725e-05
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396.0,90.0,5.0,11.48,3.8,False,False,True,13,4.812685225056359e-05
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197.0,82.85,5.0,11.48,4.65,False,True,True,10,0.00015407554671968191
102,Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198.0,67.0,7.0,6.45,3.95,False,True,True,7,0.00012023987093239172
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967.0,241.4,5.0,11.48,9.8,False,False,False,14,0.0003266666666666667
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197.0,80.0,5.0,11.48,2.7,False,True,True,15,4.0909090909090915e-05
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796.0,35.0,5.0,11.48,2.41,False,True,True,14,2.5679275439531168e-05
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197.0,78.9,5.0,6.41,3.9,False,True,True,10,7.358490566037736e-05
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993.0,270.9,5.0,11.48,24.0,False,False,False,13,0.0003076923076923077
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179.0,140.0,7.0,11.48,5.75,False,False,True,12,8.846153846153847e-05
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582.0,126.32,5.0,11.48,5.25,False,False,False,10,0.00013125
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755.0,171.5,7.0,27.0,19.25,False,False,False,7,0.0006416666666666667
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196.0,73.0,5.0,5.13,3.91,False,True,True,7,0.00010275142564318188
112,Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624.0,37.5,4.0,11.48,2.15,False,True,True,10,8.431372549019608e-05
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,190.0,5.0,54.43,20.75,False,False,False,9,0.0003699609535186407
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799.0,130.0,5.0,11.48,3.35,False,True,True,14,4.712469052442044e-05
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494.0,100.6,7.0,11.48,11.11,False,False,True,10,0.00020199999999999998
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984.0,150.0,5.0,11.48,20.0,False,False,False,10,0.0006116207951070336
117,Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198.0,75.94,5.0,9.51,6.55,False,True,False,8,0.00016423449175066447
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497.0,215.0,5.0,11.48,7.0,False,True,False,15,5.46875e-05
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248.0,88.5,5.0,9.96,7.5,False,False,True,8,0.00013636363636363637
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143.0,107.3,5.0,11.48,16.75,False,False,False,10,0.00031161051476196676
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,14.44,10.95,False,False,True,6,0.0010682926829268292
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998.0,67.1,5.0,11.48,2.45,False,True,True,13,5.5841728586406535e-05
124,Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624.0,37.48,4.0,11.48,3.23,False,True,False,7,9.882511320523803e-05
125,Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179.0,120.0,8.0,11.48,7.75,False,False,True,10,0.00018452380952380953
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796.0,178.0,5.0,11.48,9.35,False,True,False,15,0.00032978273137697513
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354.0,152.0,5.0,11.48,5.25,False,True,True,17,0.000110062893081761
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498.0,103.2,5.0,11.48,7.25,False,False,False,9,0.0001318181818181818
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373.0,91.1,5.0,11.48,7.47,False,True,True,7,0.0001686801400022581
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179.0,140.0,7.0,11.48,13.25,False,False,False,8,0.00024537037037037035
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197.0,85.8,5.0,11.48,5.81,False,True,True,8,0.00019218047102408044
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998.0,67.1,5.0,4.53,2.6,False,True,True,10,2.937853107344633e-05
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,95.04,54.0,False,True,False,7,0.00403828896201017
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591.0,121.3,5.0,13.49,11.5,False,True,False,5,0.0009094503756425465
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796.0,46.3,5.0,11.48,1.6,False,True,True,14,1.695184616199608e-05
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995.0,143.0,5.0,11.48,17.22,False,False,False,9,0.0005411520693881399
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199.0,88.7,5.0,11.48,6.0,False,True,False,9,0.0005
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799.0,130.0,5.0,11.48,3.95,False,True,True,12,4.459346564609723e-05
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143.0,170.0,5.0,11.48,17.95,False,False,False,10,0.0003991993772934504
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498.0,98.6,5.0,11.48,3.7,False,False,True,10,8.214190569221206e-05
142,Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197.0,81.8,5.0,11.48,5.43,False,True,True,8,0.000158753362179862
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982.0,171.0,7.0,11.48,13.49,False,False,True,12,0.00014785992217898833
145,Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199.0,76.8,5.0,11.48,2.85,False,True,True,10,7.345360824742269e-05
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498.0,103.52,5.0,11.48,4.75,False,False,True,11,5.72289156626506e-05
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373.0,91.1,5.0,11.48,9.9,False,True,True,6,0.00023980815347721823
148,Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894.0,444.0,4.0,1.28,37.0,False,True,False,11,0.001608695652173913
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,190.0,5.0,60.88,26.5,False,False,False,10,0.0005520833333333334
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968.0,174.33,5.0,11.48,23.32,False,False,False,9,0.0004836769403077944
151,Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248.0,74.0,5.0,11.48,6.25,False,False,True,8,0.00017857142857142857
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461.0,362.9,5.0,11.48,30.0,False,True,False,14,0.0008504124500382685
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498.0,103.52,5.0,11.48,9.86,False,False,False,8,0.00018051995606005125
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968.0,138.1,5.0,11.48,8.5,False,False,False,12,6.204515427345124e-05
155,Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814.0,55.2,5.0,11.48,4.23,False,True,True,5,0.0002953498114788438
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199.0,73.9,5.0,11.48,3.5,False,False,True,12,5.332602005058354e-05
157,Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198.0,67.06,5.0,11.48,2.5,False,True,True,8,0.0004166666666666667
158,Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198.0,86.8,5.0,11.48,2.39,False,True,True,11,7.181490384615385e-05
159,Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595.0,120.7,5.0,11.48,11.25,False,True,False,11,0.0003879310344827586
160,Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498.0,98.6,5.0,11.48,7.11,False,False,True,9,0.00016600126076906914
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494.0,100.6,7.0,11.48,10.9,False,False,True,8,0.00012111111111111112
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197.0,81.8,5.0,11.48,6.2,False,True,True,7,0.00025827952509893773
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179.0,140.0,7.0,11.48,7.9,False,False,True,12,0.0002409124176628446
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498.0,89.84,5.0,11.48,4.42,False,False,True,10,2.9885461601914833e-05
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982.0,168.5,7.0,11.48,13.5,False,False,True,12,0.000102455128448374
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498.0,108.5,5.0,11.48,6.25,False,False,False,11,9.615384615384615e-05
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399.0,68.0,5.0,11.48,2.1,False,False,True,14,3.175899460097092e-05
168,BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993.0,258.0,5.0,11.48,45.0,False,False,False,9,0.0010975609756097562
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143.0,167.62,5.0,11.48,33.66,False,False,False,7,0.0014292993630573246
170,Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198.0,86.8,5.0,11.48,3.65,False,True,True,12,8.11111111111111e-05
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197.0,78.9,5.0,11.48,2.75,False,True,True,11,4.5833333333333334e-05
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,First,17.9,2143.0,170.0,5.0,11.48,42.5,False,False,False,8,0.0009569054802539739
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197.0,81.86,5.0,7.39,6.5,False,True,True,5,0.0065
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,17.68,1968.0,174.33,5.0,11.48,19.0,False,False,False,12,0.000304
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,14.4,1598.0,103.6,5.0,11.48,4.45,False,True,False,11,0.00021190476190476192
176,Mini Countryman Cooper D,Jaipur,2017,8525,Second,16.6,1998.0,112.0,5.0,11.48,23.0,False,False,False,7,0.0026979472140762463
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,22.54,1396.0,88.73,5.0,11.48,8.35,False,False,True,10,0.0002879310344827586
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,17.68,1968.0,174.33,5.0,11.48,22.95,False,False,False,10,0.0005737499999999999
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,25.44,936.0,57.6,5.0,11.48,1.5,False,False,True,12,1.7045454545454546e-05
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,13.7,1798.0,157.75,5.0,11.48,6.89,False,True,False,12,0.00012869604198965202
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,17.8,1399.0,68.0,5.0,11.48,1.45,False,False,True,18,6.712962962962963e-06
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995.0,190.0,5.0,69.47,33.5,False,False,False,10,0.0006568627450980392
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,First,12.9,1598.0,102.5,5.0,11.48,1.25,False,True,True,17,1.0548523206751054e-05
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,First,22.07,1199.0,73.9,5.0,11.48,4.2,False,False,True,12,6.666666666666667e-05
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,First,19.98,1461.0,108.5,8.0,11.48,6.75,False,False,True,9,0.00027
